
===== energy_monitoring.log =====
2026-07-26T18:46:25.4639505+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=2972.
2026-07-26T18:46:25.6261860+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-27T08:06:12.3608672+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=3060.
2026-07-27T08:06:12.5200344+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-28T09:35:19.4810398+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=3000.
2026-07-28T09:35:19.5205759+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-28T09:35:19.7570069+05:30 | BACKEND STARTED: pid=18696.
2026-07-29T09:22:35.8440169+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=3184.
2026-07-29T09:22:35.8619657+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-29T09:22:36.1922045+05:30 | BACKEND STARTED: pid=15344.
2026-07-29T12:33:11.0414738+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=3028.
2026-07-29T12:33:11.0725467+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-29T22:42:29.3411973+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=2840.
2026-07-29T22:42:29.4077579+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-31T09:16:12.6116765+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=2996.
2026-07-31T09:16:12.7246130+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-31T12:36:35.4116286+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend_Phase3Probe project=D:\FFPL\energy-monitoring-system.
2026-07-31T12:36:39.6048292+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend_Phase3Probe.
2026-07-31T12:36:39.6839781+05:30 | BACKEND PID READ: pid=2940 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
2026-07-31T12:36:40.1351650+05:30 | BACKEND PROCESS NOT RUNNING: pid=2940 from lock file.
2026-07-31T12:37:36.9382677+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend_Phase3Probe project=D:\FFPL\energy-monitoring-system.
2026-07-31T12:37:40.1562211+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend_Phase3Probe.
2026-07-31T12:37:40.2147493+05:30 | BACKEND PID READ: pid=19548 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
2026-07-31T12:37:40.5830340+05:30 | BACKEND VERIFY OK: pid=19548 executable='D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe' commandLine='"D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe" -u D:\FFPL\energy-monitoring-system\.phase3-stop-probe\main.py '.
2026-07-31T12:37:40.5916177+05:30 | BACKEND STOP REQUESTED: pid=19548.
2026-07-31T12:37:40.8029538+05:30 | BACKEND STOPPED: pid=19548.
2026-07-31T12:51:03.8026563+05:30 | BACKEND CRASHED: exit_code=1. Restarting in 10 second(s).
2026-07-31T12:51:13.9019278+05:30 | BACKEND RESTARTING after exit_code=1.
2026-07-31T12:51:13.9500728+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-31T12:52:40.2318875+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend project=D:\FFPL\energy-monitoring-system.
2026-07-31T12:52:44.0134254+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend.
2026-07-31T12:52:44.0774602+05:30 | BACKEND PID READ: pid=6328 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
2026-07-31T12:52:44.5940121+05:30 | BACKEND VERIFY FAILED: pid=6328 executable='' commandLine=''. Expected executable='D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe' and script main.py.
2026-07-31T12:53:42.2076728+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend project=D:\FFPL\energy-monitoring-system.
2026-07-31T12:53:45.2591320+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend.
2026-07-31T12:53:45.3032726+05:30 | BACKEND PID READ: pid=6328 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
